id,year,state_name,state_code,district_name,district_code,registration_circles,male_below_12_years,male_12_years_to_16_years,male_16_years_to_18_years,male_children,male_18_years_and_above,female_below_12_years,female_12_years_to_16_years,female_16_years_to_18_years,female_children,female_18_years_and_above,transgender_below_12_years,transgender_12_years_to_16_years,transgender_16_years_to_18_years,transgender_children,transgender_18_years_and_above
1785,2022,Delhi,7,North East,81,North-East,50,95,35,180,868,19,220,110,349,965,NaN,NaN,NaN,NaN,NaN
1786,2022,Delhi,7,North West,82,North-West,26,60,17,103,428,23,142,76,241,465,NaN,NaN,NaN,NaN,NaN
1787,2022,Delhi,7,North West,82,Outer,22,73,48,143,773,17,132,187,336,1026,NaN,NaN,NaN,NaN,NaN
1788,2022,Delhi,7,New Delhi,79,Railway,4,0,0,4,34,3,6,2,11,34,NaN,NaN,NaN,NaN,NaN
1789,2022,Delhi,7,South,83,South,15,41,35,91,493,9,134,146,289,662,2,4,4,NaN,18
1790,2022,Delhi,7,South East,670,South-East,36,84,42,162,606,13,171,216,400,736,NaN,NaN,NaN,NaN,NaN
1791,2022,Delhi,7,South West,84,South-West,31,52,15,98,479,21,170,71,262,597,NaN,NaN,NaN,NaN,NaN
1792,2022,Delhi,7,North West,82,Spl Cell,0,0,0,0,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN
1793,2022,Delhi,7,New Delhi,79,Spuwac,0,0,0,0,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN
1794,2022,Delhi,7,New Delhi,79,Vigilance,0,0,0,0,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN
1795,2022,Delhi,7,West,85,West,17,30,24,71,546,21,133,113,267,619,NaN,NaN,NaN,NaN,NaN
1796,2022,Delhi,7,North West,82,Rohini,71,61,47,179,606,60,129,149,338,674,NaN,NaN,NaN,NaN,NaN
1797,2022,Delhi,7,Shahdara,671,Shahdara,25,58,10,93,506,15,121,59,195,540,NaN,NaN,NaN,NaN,NaN
1798,2022,Delhi,7,South West,84,Dwarka,44,74,21,139,697,22,241,91,354,919,NaN,NaN,NaN,NaN,NaN
1799,2022,Delhi,7,New Delhi,79,Outer North,134,122,35,291,737,85,399,127,611,1082,NaN,NaN,NaN,NaN,NaN
1800,2022,Jammu And Kashmir,1,Anantnag,1,Anantnag,1,1,1,3,69,1,0,14,15,49,NaN,NaN,NaN,NaN,NaN
1801,2022,Jammu And Kashmir,1,Pulwama,11,Awantipora,0,1,0,1,15,0,0,0,0,13,NaN,NaN,NaN,NaN,NaN
1802,2022,Jammu And Kashmir,1,Bandipora,623,Bandipora,1,4,3,8,14,0,1,1,2,31,NaN,NaN,NaN,NaN,NaN
1803,2022,Jammu And Kashmir,1,Baramulla,3,Baramulla,0,0,0,0,0,0,0,25,25,27,NaN,NaN,NaN,NaN,NaN
1804,2022,Jammu And Kashmir,1,Budgam,2,Budgam,0,0,0,0,43,0,0,0,0,68,NaN,NaN,NaN,NaN,NaN
1805,2022,Jammu And Kashmir,1,Jammu,5,Special Crime Wing Jammu,0,0,0,0,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN
1806,2022,Jammu And Kashmir,1,Jammu,5,Special Crime Wing Kashmir,0,0,0,0,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN
1807,2022,Jammu And Kashmir,1,Doda,4,Doda,0,1,0,1,18,0,5,0,5,68,NaN,NaN,NaN,NaN,NaN
1808,2022,Jammu And Kashmir,1,Ganderbal,626,Ganderbal,0,2,6,8,34,0,1,6,7,33,NaN,NaN,NaN,NaN,NaN
